team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
Switzerland,,Aurèle Amenda,0,DF,22,2003-07-31,Switzerland,Eintracht Frankfurt,6,0,10000000,0,0
Switzerland,,Luca Jaquez,0,DF,23,2003-06-02,Switzerland,VfB Stuttgart,3,0,10000000,0,0
Switzerland,,Cedric Itten,0,FW,29,1996-12-27,Switzerland,Fortuna Düsseldorf,14,5,1800000,0,0
Brazil,,Alisson,0,GK,33,1992-10-02,Brazil,Liverpool,77,0,15000000,0,0
Brazil,,Wesley,0,DF,22,2003-09-06,Brazil,Roma,7,0,40000000,0,0
Brazil,,Gabriel Magalhães,0,DF,28,1997-12-19,Brazil,Arsenal,17,1,75000000,0,0
Brazil,,Marquinhos,1,DF,32,1994-05-14,Brazil,Paris Saint-Germain,104,7,28000000,0,0
Brazil,,Casemiro,0,MF,34,1992-02-23,Brazil,Manchester United,85,9,6000000,0,0
Brazil,,Alex Sandro,0,DF,35,1991-01-26,Brazil,Flamengo,44,2,1000000,0,0
Brazil,,Vinícius Júnior,0,FW,25,2000-07-12,Brazil,Real Madrid,48,9,150000000,4,1
Brazil,,Bruno Guimarães,0,MF,28,1997-11-16,Brazil,Newcastle United,42,2,70000000,0,0
Brazil,,Matheus Cunha,0,FW,27,1999-05-27,Brazil,Manchester United,22,1,75000000,3,0
Brazil,,Neymar,0,FW,34,1992-02-05,Brazil,Santos,128,79,8000000,0,0
Brazil,,Raphinha,0,FW,29,1996-12-14,Brazil,Barcelona,38,11,80000000,0,0
Brazil,,Weverton,0,GK,38,1987-12-13,Brazil,Grêmio,10,0,700000,0,0
Brazil,,Danilo Luiz,0,DF,34,1991-07-15,Brazil,Flamengo,69,1,,0,0
Brazil,,Bremer,0,DF,29,1997-03-18,Brazil,Juventus,7,1,35000000,0,0
Brazil,,Léo Pereira,0,DF,30,1996-01-31,Brazil,Flamengo,3,0,12000000,0,0
Brazil,,Douglas Santos,0,DF,32,1994-03-22,Brazil,Zenit Saint Petersburg,6,0,7500000,0,0
Brazil,,Fabinho,0,MF,32,1993-10-23,Brazil,Al-Ittihad,32,0,12000000,0,0
Brazil,,Danilo Santos,0,MF,25,2001-04-29,Brazil,Botafogo,3,2,,0,0
Brazil,,Endrick,0,FW,19,2006-07-21,Brazil,Lyon,16,3,40000000,0,0
Brazil,,Lucas Paquetá,0,MF,28,1997-08-27,Brazil,Flamengo,62,13,32000000,0,0
Brazil,,Luiz Henrique,0,FW,25,2001-01-02,Brazil,Zenit Saint Petersburg,14,2,24000000,0,0
Brazil,,Gabriel Martinelli,0,FW,24,2001-06-18,Brazil,Arsenal,22,4,45000000,0,0
