team,player_name,position,age,date_of_birth,caps,goals,club
Brazil,Rayan,FW,19,2006-08-03,2,1,Bournemouth
Haiti,Johny Placide (captain),GK,38,1988-01-29,80,0,Bastia
Haiti,Carlens Arcus,DF,29,1996-06-28,52,1,Angers
Haiti,Keeto Thermoncy,DF,20,2006-03-29,1,0,Young Boys
Haiti,Ricardo Adé,DF,36,1990-05-21,58,2,LDU Quito
Haiti,Hannes Delcroix,DF,27,1999-02-28,6,0,Lugano
Haiti,Carl Sainté,MF,23,2002-08-09,26,0,El Paso Locomotive FC
Haiti,Derrick Etienne Jr.,FW,29,1996-11-25,47,8,Toronto FC
Haiti,Martin Expérience,DF,27,1999-03-09,20,0,Nancy
Haiti,Duckens Nazon,FW,32,1994-04-07,77,44,Esteghlal
Haiti,Jean-Ricner Bellegarde,MF,27,1998-06-27,9,0,Wolverhampton Wanderers
Haiti,Louicius Deedson,FW,25,2001-02-11,31,10,FC Dallas
Haiti,Alexandre Pierre,GK,25,2001-02-25,15,0,Sochaux
Haiti,Duke Lacroix,DF,32,1993-10-14,15,3,Colorado Springs Switchbacks FC
Haiti,Leverton Pierre,MF,28,1998-03-09,33,0,Vizela
Haiti,Ruben Providence,FW,24,2001-07-07,14,3,Almere City
Haiti,Lenny Joseph,FW,25,2000-10-12,1,1,Ferencváros
Haiti,Danley Jean Jacques,MF,26,2000-05-20,29,6,Philadelphia Union
Haiti,Wilson Isidor,FW,25,2000-08-27,3,1,Sunderland
Haiti,Yassin Fortuné,FW,27,1999-01-30,4,0,Vizela
Haiti,Frantzdy Pierrot,FW,31,1995-03-29,50,34,Çaykur Rizespor
Haiti,Josué Casimir,FW,24,2001-09-24,6,0,Auxerre
Haiti,Jean-Kévin Duverne,DF,28,1997-07-12,16,1,Gent
Haiti,Josué Duverger,GK,26,2000-04-27,6,0,Cosmos Koblenz
Haiti,Wilguens Paugain,DF,24,2001-08-24,7,0,Zulte Waregem
Haiti,Dominique Simon,MF,25,2000-07-29,1,0,Tatran Prešov
Haiti,Woodensky Pierre,MF,21,2004-12-30,1,0,Violette
Morocco,Yassine Bounou,GK,35,1991-04-05,89,0,Al-Hilal
Morocco,Achraf Hakimi (captain),DF,27,1998-11-04,95,11,Paris Saint-Germain
Morocco,Noussair Mazraoui,DF,28,1997-11-14,44,2,Manchester United
Morocco,Sofyan Amrabat,MF,29,1996-08-21,74,0,Real Betis
Morocco,Nayef Aguerd,DF,30,1996-03-30,64,2,Marseille
Morocco,Ayyoub Bouaddi,MF,18,2007-10-02,3,0,Lille
Morocco,Chemsdine Talbi,MF,21,2005-05-09,5,0,Sunderland
Morocco,Azzedine Ounahi,MF,26,2000-04-19,48,9,Girona
Morocco,Soufiane Rahimi,FW,30,1996-06-02,36,12,Al Ain
Morocco,Brahim Díaz,FW,26,1999-08-03,25,13,Real Madrid
Morocco,Ismael Saibari,MF,25,2001-01-28,30,9,PSV Eindhoven
Morocco,Munir Mohamedi,GK,37,1989-05-10,53,0,RS Berkane
Morocco,Zakaria El Ouahdi,DF,24,2001-12-31,2,0,Genk
Morocco,Issa Diop,DF,29,1997-01-09,3,0,Fulham
Morocco,Samir El Mourabet,MF,20,2005-10-06,3,0,Strasbourg
Morocco,Gessime Yassine,MF,20,2005-11-22,5,0,Strasbourg
Morocco,Abde Ezzalzouli,FW,24,2001-12-17,36,2,Real Betis
Morocco,Chadi Riad,DF,22,2003-06-17,5,1,Crystal Palace
Morocco,Youssef Belammari,DF,27,1998-09-20,18,0,Al Ahly
Morocco,Ayoub El Kaabi,FW,32,1993-06-25,71,37,Olympiacos
Morocco,Ayoube Amaimouni,FW,21,2004-11-30,1,0,Eintracht Frankfurt
Morocco,Ahmed Reda Tagnaouti,GK,30,1996-04-05,3,0,AS FAR
Morocco,Bilal El Khannouss,MF,22,2004-05-10,36,3,VfB Stuttgart
Morocco,Neil El Aynaoui,MF,24,2001-07-02,15,2,Roma
Morocco,Redouane Halhal,DF,23,2003-03-05,2,0,Mechelen
Morocco,Anass Salah-Eddine,DF,24,2002-01-18,9,0,PSV Eindhoven
Scotland,Angus Gunn,GK,30,1996-01-22,21,0,Nottingham Forest
Scotland,Aaron Hickey,DF,24,2002-06-10,20,0,Brentford
Scotland,Andy Robertson (captain),DF,32,1994-03-11,93,4,Liverpool
Scotland,Scott McTominay,MF,29,1996-12-08,69,14,Napoli
Scotland,Grant Hanley,DF,34,1991-11-20,67,2,Hibernian
Scotland,Kieran Tierney,DF,29,1997-06-05,55,2,Celtic
Scotland,John McGinn,MF,31,1994-10-18,85,20,Aston Villa
Scotland,Tyler Fletcher,MF,19,2007-03-19,1,0,Manchester United
Scotland,Lyndon Dykes,FW,30,1995-10-07,51,10,Charlton Athletic
Scotland,Ché Adams,FW,29,1996-07-13,46,11,Torino
Scotland,Ryan Christie,MF,31,1995-02-22,67,10,Bournemouth
Scotland,Liam Kelly,GK,30,1996-01-23,3,0,Rangers
Scotland,Jack Hendry,DF,31,1995-05-07,37,3,Al-Ettifaq
Scotland,Ross Stewart,FW,29,1996-07-11,2,0,Southampton
Scotland,John Souttar,DF,29,1996-09-25,23,2,Rangers
Scotland,Dominic Hyam,DF,30,1995-12-20,3,0,Wrexham
